id,examples,features,classes,top class,LR test,SVC test,GB test,RF test,LR train,SVC train,GB train,RF train
746,250,25,2,57.2%,+2.8%,+5.2%,+30.0%,+29.2%,+10.4%,+33.0%,+42.8%,+42.8%
749,500,5,2,52.6%,+13.8%,+37.2%,+36.4%,+37.0%,+14.6%,+38.6%,+47.4%,+47.4%
744,250,5,2,56.4%,+10.4%,+26.4%,+27.6%,+30.0%,+13.3%,+30.2%,+43.6%,+43.6%
743,1000,5,2,54.3%,+9.5%,+37.0%,+37.8%,+38.3%,+9.6%,+39.5%,+45.2%,+45.7%
685,130,2,5,20.0%,+19.2%,+5.4%,+13.1%,+13.8%,+21.7%,+16.8%,+80.0%,+80.0%
724,468,3,2,55.6%,+0.4%,+12.0%,+5.0%,+3.5%,+4.4%,+23.9%,+37.5%,+44.4%
723,1000,25,2,54.7%,+9.5%,+12.9%,+36.3%,+35.3%,+11.6%,+32.8%,+44.8%,+45.3%
726,100,5,2,60.0%,+7.0%,+20.0%,+18.0%,+22.0%,+11.4%,+27.1%,+40.0%,+40.0%
828,100,100,2,53.0%,+5.0%,+4.0%,+24.0%,+18.0%,+47.0%,+47.0%,+47.0%,+47.0%
832,250,25,2,55.6%,+8.0%,+8.4%,+29.6%,+27.6%,+16.9%,+36.2%,+44.4%,+44.4%
830,250,10,2,63.6%,+12.8%,+18.8%,+25.6%,+27.2%,+16.0%,+27.1%,+36.4%,+36.4%
829,100,5,2,55.0%,+10.0%,+26.0%,+26.0%,+30.0%,+14.1%,+35.2%,+45.0%,+45.0%
1115,151,6,3,34.4%,+19.2%,+21.1%,+46.4%,+31.8%,+23.4%,+36.1%,+65.6%,+65.6%
1073,274,8,2,51.1%,+17.8%,+21.6%,+21.6%,+24.8%,+22.2%,+26.9%,+46.8%,+48.9%
1512,200,13,5,28.0%,+11.0%,+9.5%,+2.5%,+6.5%,+21.1%,+34.1%,+72.0%,+72.0%
1508,403,5,5,32.0%,+45.6%,+57.6%,+58.8%,+58.1%,+47.5%,+61.4%,+68.0%,+68.0%
732,250,50,2,53.2%,+24.0%,+21.6%,+30.4%,+24.4%,+38.6%,+45.8%,+46.8%,+46.8%
736,111,3,2,52.3%,+18.1%,+17.3%,+10.2%,+13.6%,+19.6%,+19.9%,+46.9%,+47.7%
740,1000,10,2,56.0%,+10.5%,+25.0%,+34.8%,+34.6%,+12.0%,+31.2%,+43.4%,+44.0%
730,250,5,2,52.4%,+13.6%,+34.4%,+37.6%,+39.2%,+15.1%,+40.6%,+47.6%,+47.6%
824,500,10,2,54.8%,+11.0%,+20.0%,+36.2%,+36.6%,+12.5%,+32.4%,+45.2%,+45.2%
814,468,2,2,54.7%,-5.1%,+12.1%,+4.4%,+1.1%,-0.4%,+26.8%,+38.0%,+45.3%
913,1000,10,2,58.0%,+14.1%,+24.4%,+34.7%,+33.3%,+14.3%,+31.2%,+41.5%,+42.0%
910,1000,10,2,56.4%,+12.2%,+22.5%,+35.2%,+35.6%,+13.1%,+32.0%,+43.4%,+43.6%
912,1000,5,2,58.4%,+14.5%,+35.1%,+34.4%,+34.4%,+15.4%,+36.5%,+41.2%,+41.6%
916,100,5,2,56.0%,+12.0%,+26.0%,+25.0%,+31.0%,+15.0%,+33.6%,+44.0%,+44.0%
911,250,5,2,56.0%,+13.2%,+30.8%,+32.0%,+33.2%,+14.1%,+33.7%,+44.0%,+44.0%
1025,400,5,2,77.5%,-2.2%,+4.5%,+16.2%,+13.0%,-0.2%,+5.3%,+20.2%,+22.5%
750,500,7,2,50.8%,-0.2%,+4.8%,+7.6%,+11.2%,+5.3%,+17.6%,+42.2%,+49.2%
751,1000,10,2,56.0%,+8.7%,+24.1%,+34.0%,+32.4%,+9.9%,+31.0%,+43.3%,+44.0%
850,100,50,2,51.0%,+19.0%,+22.0%,+19.0%,+17.0%,+47.6%,+48.9%,+49.0%,+49.0%
855,500,10,2,55.2%,+10.8%,+22.8%,+35.0%,+34.6%,+12.7%,+30.8%,+44.8%,+44.8%
863,250,10,2,53.2%,+9.6%,+14.8%,+28.4%,+28.4%,+12.4%,+31.2%,+46.8%,+46.8%
1006,148,18,2,54.7%,+29.0%,+32.3%,+31.7%,+34.4%,+35.8%,+41.1%,+45.3%,+45.3%
996,214,9,2,64.5%,-7.1%,+6.0%,+5.1%,+10.7%,+2.5%,+20.7%,+35.5%,+35.5%
1005,214,9,2,64.5%,-0.4%,+13.1%,+18.2%,+19.1%,+2.9%,+19.9%,+35.5%,+35.5%
997,625,4,2,53.9%,+38.7%,+36.3%,+22.2%,+18.9%,+41.2%,+44.7%,+45.9%,+46.1%
1465,106,9,6,20.8%,+14.2%,+25.5%,+16.0%,+27.4%,+36.3%,+60.2%,+79.2%,+79.2%
1463,100,5,2,68.0%,-4.0%,+6.0%,+20.0%,+19.0%,+4.6%,+16.4%,+24.2%,+24.2%
794,250,25,2,55.6%,+13.2%,+16.4%,+30.4%,+28.8%,+20.4%,+36.4%,+44.4%,+44.4%
793,250,10,2,54.0%,+11.6%,+20.8%,+36.8%,+36.4%,+15.1%,+32.3%,+46.0%,+46.0%
789,100,10,2,53.0%,+13.0%,+17.0%,+24.0%,+32.0%,+18.2%,+36.7%,+47.0%,+47.0%
792,500,5,2,59.6%,+11.0%,+31.0%,+31.0%,+31.4%,+10.9%,+33.4%,+40.4%,+40.4%
799,1000,5,2,50.3%,+33.9%,+39.6%,+37.7%,+37.6%,+34.6%,+42.8%,+48.1%,+49.7%
902,147,6,2,53.1%,+11.0%,+12.3%,+4.0%,+8.3%,+13.8%,+18.5%,+41.3%,+45.7%
896,500,25,2,56.0%,+6.8%,+12.2%,+33.4%,+30.2%,+11.8%,+34.0%,+44.0%,+44.0%
903,1000,25,2,56.3%,+10.2%,+18.3%,+35.4%,+32.1%,+13.7%,+31.4%,+43.6%,+43.7%
895,222,2,2,60.4%,+30.2%,+28.8%,+23.4%,+20.7%,+29.9%,+29.8%,+33.9%,+35.1%
974,132,4,2,61.4%,+0.7%,+23.5%,+14.5%,+17.5%,+7.7%,+24.4%,+30.0%,+30.0%
771,108,3,2,55.6%,+16.4%,+13.8%,+9.0%,+11.7%,+21.2%,+21.6%,+42.3%,+44.4%
766,500,50,2,52.4%,+8.4%,+10.2%,+34.4%,+27.8%,+19.2%,+42.2%,+47.6%,+47.6%
769,250,50,2,54.8%,+9.2%,+9.6%,+34.8%,+30.0%,+24.0%,+42.6%,+45.2%,+45.2%
768,100,25,2,55.0%,+0.0%,+4.0%,+18.0%,+12.0%,+20.8%,+41.6%,+45.0%,+45.0%
770,625,6,2,50.4%,+10.6%,+0.4%,+40.9%,+29.4%,+14.9%,+32.8%,+49.6%,+49.6%
834,250,100,2,56.0%,+3.6%,+8.0%,+30.8%,+24.0%,+35.1%,+42.8%,+44.0%,+44.0%
838,500,25,2,56.8%,+10.4%,+13.2%,+29.4%,+30.4%,+14.1%,+32.6%,+43.2%,+43.2%
841,950,9,2,51.4%,+21.9%,+27.7%,+30.8%,+29.9%,+34.2%,+43.5%,+48.6%,+48.6%
